#,venue_id,,venue_address,venue_lat,venue_lng,notes
1,1e5fcd8d57a10111defbe772,*Planet Fitness*,"10790 Alpharetta Hwy, Roswell, GA 30076, Roswell, GA, United States",34.04246785,-84.34217852,underperfoming
2,8f48831da12590c62940887c,Planet Fitness,"1570 Holcomb Bridge Road, Roswell, Georgia, United States",34.0187544,-84.3118674,
3,555e64ad5d915b3f59588b21,Planet Fitness,"13071 Highway 9, Milton, GA, United States",34.10137767,-84.26866763,
4,b11c324e9d8022ba2a8e6488,Planet Fitness,"299 Molly Lane, Woodstock, GA, United States",34.08340909,-84.53898477,
